Wavelength,Average,Red,Green,Blue
-35.15,7.65,10.2,2.55,5.1
-32.74,2.55,7.65,0,2.55
-30.34,2.55,5.1,2.55,2.55
-27.93,0,2.55,0,0
-25.53,0,0,0,0
-23.12,0,0,0,0
-20.72,2.55,0,0,7.65
-18.31,2.55,0,0,7.65
-15.91,5.1,2.55,0,12.75
-13.5,2.55,2.55,0,12.75
-11.1,2.55,0,0,7.65
-8.69,0,0,0,5.1
-6.285,0,0,0,2.55
-3.879,0,0,0,2.55
-1.474,0,0,0,0
0.9316,0,0,0,0
3.337,0,0,0,0
5.742,0,0,0,0
8.148,0,0,0,0
10.55,0,0,0,0
12.96,0,2.55,0,0
15.36,0,0,0,0
17.77,0,0,0,0
20.17,0,0,0,0
22.58,0,0,0,0
24.99,0,0,0,0
27.39,0,0,0,0
29.8,0,0,0,0
32.2,0,0,0,0
34.61,0,0,0,0
37.01,0,2.55,0,0
39.42,0,2.55,0,0
41.82,0,0,0,0
44.23,0,0,0,0
46.63,0,0,0,0
49.04,0,0,0,0
51.45,0,0,0,0
53.85,0,0,0,0
56.26,0,0,0,0
58.66,0,0,0,0
61.07,0,0,0,0
63.47,0,0,0,0
65.88,0,0,0,0
68.28,0,0,0,0
70.69,0,0,0,0
73.09,0,0,0,0
75.5,0,0,0,0
77.9,0,0,0,0
80.31,0,0,0,2.55
82.72,0,0,0,2.55
85.12,0,0,0,2.55
87.53,0,0,0,2.55
89.93,0,2.55,0,0
92.34,0,2.55,0,0
94.74,0,2.55,0,0
97.15,0,2.55,0,0
99.55,0,2.55,0,0
102,0,2.55,0,0
104.4,0,2.55,0,0
106.8,0,2.55,0,0
109.2,0,0,0,0
111.6,0,0,0,0
114,0,0,0,0
116.4,0,0,0,0
118.8,0,0,0,0
121.2,0,0,0,0
123.6,0,0,0,0
126,0,0,0,0
128.4,0,0,0,0
130.8,0,0,0,0
133.2,2.55,2.55,0,2.55
135.6,2.55,2.55,0,2.55
138,0,0,0,2.55
140.4,0,0,0,2.55
142.9,0,0,0,0
145.3,0,0,0,0
147.7,0,0,0,0
150.1,0,0,0,0
152.5,0,0,0,0
154.9,0,0,0,0
157.3,0,0,0,2.55
159.7,0,0,0,0
162.1,0,2.55,0,0
164.5,0,2.55,0,0
166.9,2.55,7.65,0,0
169.3,0,5.1,0,0
171.7,0,2.55,0,0
174.1,0,0,0,0
176.5,0,0,0,0
178.9,0,0,0,0
181.3,0,0,0,0
183.7,0,0,0,0
186.1,0,0,0,0
188.6,0,0,0,0
191,0,0,0,0
193.4,0,0,0,0
195.8,0,0,0,0
198.2,0,2.55,0,0
200.6,0,2.55,0,0
203,0,2.55,0,0
205.4,0,2.55,0,0
207.8,0,2.55,0,0
210.2,0,0,0,0
212.6,0,0,0,0
215,0,0,0,0
217.4,0,0,0,0
219.8,0,0,0,0
222.2,0,0,0,0
224.6,0,0,0,0
227,0,0,0,0
229.4,0,0,0,0
231.9,0,0,0,0
234.3,0,0,0,0
236.7,0,0,0,0
239.1,0,0,0,2.55
241.5,0,0,0,2.55
243.9,0,0,0,7.65
246.3,0,0,0,7.65
248.7,0,0,0,2.55
251.1,0,0,0,2.55
253.5,0,0,0,0
255.9,0,0,0,0
258.3,0,0,0,0
260.7,0,0,0,0
263.1,0,0,0,0
265.5,0,0,0,0
267.9,0,0,0,0
270.3,0,0,0,0
272.7,0,0,0,2.55
275.1,0,0,0,2.55
277.6,0,0,0,2.55
280,0,0,0,2.55
282.4,0,0,0,0
284.8,0,0,0,0
287.2,0,0,0,2.55
289.6,0,0,0,2.55
292,0,0,0,0
294.4,0,0,0,0
296.8,0,0,0,0
299.2,0,0,0,0
301.6,0,0,0,0
304,0,0,0,0
306.4,0,0,0,2.55
308.8,0,0,0,2.55
311.2,0,0,0,2.55
313.6,0,0,0,0
316,0,0,0,0
318.4,0,0,0,0
320.9,0,0,0,0
323.3,0,0,0,0
325.7,0,0,0,2.55
328.1,0,0,0,2.55
330.5,2.55,0,0,7.65
332.9,0,0,0,7.65
335.3,2.55,0,0,7.65
337.7,2.55,0,0,7.65
340.1,0,0,0,5.1
342.5,0,0,0,7.65
344.9,0,0,0,5.1
347.3,0,0,0,5.1
349.7,0,0,0,2.55
352.1,0,0,0,2.55
354.5,0,0,0,2.55
356.9,0,0,0,2.55
359.3,0,0,0,2.55
361.7,0,0,0,2.55
364.1,0,0,0,7.65
366.6,0,0,0,7.65
369,2.55,0,0,7.65
371.4,2.55,0,0,7.65
373.8,2.55,0,0,7.65
376.2,2.55,0,0,7.65
378.6,2.55,0,0,10.2
381,2.55,0,0,10.2
383.4,2.55,0,0,10.2
385.8,2.55,0,0,10.2
388.2,2.55,0,0,12.75
390.6,2.55,0,0,12.75
393,2.55,0,0,12.75
395.4,2.55,0,0,12.75
397.8,7.65,0,0,22.95
400.2,7.65,2.55,0,25.5
402.6,12.7,0,0,40.8
405,15.3,2.55,0,43.35
407.4,20.4,2.55,0,61.2
409.9,20.4,2.55,0,61.2
412.3,35.7,7.65,2.55,99.45
414.7,43.3,12.75,10.2,104.5
417.1,53.5,17.85,0,147.9
419.5,51,10.2,0,140.3
421.9,68.8,12.75,0,191.3
424.3,66.3,10.2,0,188.7
426.7,79.0,0,5.1,237.2
429.1,86.7,5.1,12.75,244.8
431.5,89.2,0,12.75,255
433.9,89.2,0,12.75,255
436.3,89.2,0,17.85,255
438.7,91.8,0,17.85,255
441.1,91.8,0,22.95,255
443.5,91.8,0,22.95,255
445.9,91.8,0,25.5,255
448.3,94.3,0,25.5,255
450.7,96.9,0,35.7,255
453.1,96.9,0,33.15,255
455.6,94.3,2.55,22.95,255
458,86.7,0,2.55,255
460.4,68.8,0,2.55,201.5
462.8,68.8,0,2.55,201.5
465.2,63.7,0,12.75,178.5
467.6,61.2,0,10.2,178.5
470,68.8,0,33.15,178.5
472.4,68.8,0,30.6,175.9
474.8,58.6,0,30.6,147.9
477.2,63.7,0,38.25,155.5
479.6,66.3,0,45.9,153
482,63.7,0,40.8,150.4
484.4,66.3,0,63.75,135.2
486.8,68.8,0,68.85,137.7
489.2,66.3,0,71.4,127.5
491.6,66.3,0,71.4,127.5
494,63.7,0,81.6,112.2
496.4,63.7,0,81.6,114.8
498.9,66.3,0,99.45,99.45
501.3,68.8,0,104.5,104.5
503.7,63.7,0,114.8,79.05
506.1,63.7,0,114.8,79.05
508.5,58.6,0,112.2,63.75
510.9,53.5,0,107.1,56.1
513.3,51,0,107.1,48.45
515.7,48.4,0,102,43.35
518.1,43.3,0,104.5,28.05
520.5,40.8,0,99.45,25.5
522.9,35.7,0,99.45,7.65
525.3,35.7,0,96.9,7.65
527.7,30.6,0,96.9,0
530.1,30.6,0,96.9,0
532.5,28.0,0,89.25,0
534.9,28.0,0,91.8,0
537.3,30.6,0,94.35,0
539.7,30.6,0,94.35,0
542.1,30.6,0,96.9,0
544.6,30.6,0,94.35,0
547,30.6,0,91.8,0
549.4,30.6,0,91.8,0
551.8,28.0,0,86.7,0
554.2,28.0,0,86.7,0
556.6,25.5,0,81.6,0
559,25.5,0,81.6,0
561.4,25.5,0,84.15,0
563.8,28.0,0,91.8,0
566.2,38.2,15.3,99.45,0
568.6,40.8,17.85,102,0
571,48.4,33.15,96.9,12.75
573.4,40.8,28.05,91.8,7.65
575.8,51,53.55,91.8,5.1
