Wavelength,Average,Red,Green,Blue
395.188,254,250,255,257
396.272,254,250,255,257
397.356,256,257,254,257
398.440,256,257,255,257
399.524,256,257,255,257
400.608,256,257,255,257
401.692,256,257,255,257
402.776,256,257,255,257
403.860,256,257,255,257
404.944,256,257,255,257
406.028,256,257,255,257
407.112,256,257,255,257
408.196,256,257,255,257
409.280,256,257,255,257
410.364,256,257,255,257
411.448,256,257,255,257
412.532,256,257,255,257
413.616,256,257,255,257
414.699,256,257,255,257
415.783,256,257,255,257
416.867,256,257,255,257
417.951,256,257,255,257
419.035,254,252,255,257
420.119,254,251,254,257
421.203,248,235,254,257
422.287,245,231,249,255
423.371,241,223,245,257
424.455,240,222,243,257
425.539,241,220,247,257
426.623,245,226,252,257
427.707,248,232,257,257
428.791,248,232,257,257
429.875,246,228,255,257
430.959,236,216,243,251
432.043,231,205,231,257
433.127,228,201,227,257
434.211,222,190,221,257
435.295,220,187,218,257
436.379,217,182,212,257
437.463,214,178,208,257
438.547,207,168,197,257
439.631,205,165,195,257
440.715,201,159,188,257
441.799,201,159,188,257
442.883,202,161,190,257
443.967,206,166,195,257
445.051,212,175,207,254
446.135,216,180,213,257
447.219,216,182,211,257
448.302,207,171,201,251
449.386,196,152,181,257
450.470,191,145,174,254
451.554,185,132,166,257
452.638,186,134,169,257
453.722,186,134,169,257
454.806,186,133,168,257
455.890,183,127,166,257
456.974,176,119,158,253
458.058,175,117,151,257
459.142,171,112,147,255
460.226,169,108,144,257
461.310,171,110,147,257
462.394,173,112,152,257
463.478,177,118,158,257
464.562,177,117,159,257
465.646,175,113,156,257
466.730,168,97,150,257
467.814,166,96,149,255
468.898,171,99,161,255
469.982,173,101,163,257
471.066,173,97,166,257
472.150,173,97,166,257
473.234,165,85,153,257
474.318,157,75,144,252
475.402,158,76,141,257
476.486,157,75,140,257
477.570,159,80,141,257
478.654,160,81,142,257
479.738,163,87,146,257
480.821,162,85,144,257
481.905,154,84,140,239
482.989,146,76,132,231
484.073,137,74,129,208
485.157,134,72,126,206
486.241,130,73,124,193
487.325,126,69,121,190
488.409,123,67,119,183
489.493,123,67,119,183
490.577,122,64,121,183
491.661,120,61,118,181
492.745,123,59,122,189
493.829,128,63,127,194
494.913,134,57,136,211
495.997,135,58,137,212
497.081,143,47,152,232
498.165,153,56,162,241
499.249,165,59,198,239
500.333,196,97,236,257
501.417,202,100,252,255
502.501,206,105,257,257
503.585,203,95,257,257
504.669,192,82,244,250
505.753,169,57,212,238
506.837,143,31,186,213
507.921,127,38,168,176
509.005,120,31,161,169
510.089,114,41,157,144
511.173,113,40,156,143
512.257,107,42,156,125
513.340,107,42,156,125
514.424,102,33,165,108
515.508,109,40,172,115
516.592,110,34,191,107
517.676,124,48,205,121
518.760,139,60,234,125
519.844,153,73,248,140
520.928,139,62,239,116
522.012,112,35,212,89
523.096,101,36,197,72
524.180,93,28,189,64
525.264,93,38,183,59
526.348,90,35,180,57
527.432,90,39,177,54
528.516,91,40,178,55
529.600,90,40,179,51
530.684,90,40,179,51
531.768,90,38,185,47
532.852,87,35,183,45
533.936,88,30,196,40
535.020,92,33,200,44
536.104,97,29,222,41
537.188,108,40,233,52
538.272,135,74,251,80
539.356,142,82,257,88
540.440,141,84,255,84
541.524,141,84,255,84
542.608,125,62,257,56
543.692,114,50,249,43
544.776,105,33,257,27
545.859,94,22,246,16
546.943,91,19,240,14
548.027,99,28,248,22
549.111,105,33,254,30
550.195,108,36,257,32
551.279,107,39,255,28
552.363,107,39,255,28
553.447,105,36,255,25
554.531,105,36,255,25
555.615,107,41,255,26
556.699,108,42,257,27
557.783,107,42,255,24
558.867,108,43,257,25
559.951,106,42,255,22
561.035,106,42,255,22
562.119,106,42,255,22
563.203,106,42,255,22
564.287,113,52,253,36
565.371,117,55,257,39
566.455,127,69,251,63
567.539,135,77,257,71
568.623,164,115,254,125
569.707,167,117,257,127
570.791,185,138,254,164
571.875,187,140,257,165
572.959,191,149,257,169
574.043,191,149,257,169
575.127,180,143,257,140
576.211,177,141,254,137
577.295,166,135,255,108
578.378,166,135,255,108
579.462,168,149,255,101
580.546,169,150,257,102
581.630,186,184,255,120
582.714,188,186,257,121
583.798,209,223,257,148
584.882,209,223,257,148
585.966,223,249,255,165
587.050,223,249,255,165
588.134,226,257,255,166
589.218,226,257,255,166
590.302,223,257,257,155
591.386,223,257,257,155
592.470,219,257,255,147
593.554,219,257,255,147
594.638,226,257,255,166
